ServiceName, APIName, mean, 50p, 90p, 99p
unknown_service:user_proc,GetUserProfile,0.42508898944193063,0.352,0.4998000000000001,1.66888
unknown_service:user_proc,AddItem,0.4544739787353106,0.381,0.57,2.0994799999999896
unknown_service:user_proc,UpdateUserProfile,0.5547805907172996,0.472,0.6718000000000001,2.4264399999999924
unknown_service:luggage_proc,FindItems,0.6521780394041327,0.553,0.748,2.6022800000000172
unknown_service:luggage_proc,GetItemById,0.4698141176470588,0.372,0.5256000000000001,3.0487599999999966
unknown_service:luggage_proc,AddItem,1.5831522556390978,1.343,1.9069000000000003,7.671679999999996
unknown_service:frontend_proc,AddItem,1.3137484184914843,1.096,2.105,6.266609999999989
unknown_service:frontend_proc,Search,5.756341501501502,5.317,10.460000000000003,26.586280000000087
unknown_service:frontend_proc,GetReviewsForItem,0.37900752364051826,0.317,0.429,1.6602700000000041
unknown_service:frontend_proc,GetItemById,0.7381435294117646,0.582,0.8466,3.887359999999998
unknown_service:frontend_proc,GetUserProfile,1.0762247360482655,0.973,1.4056000000000002,5.4493399999999985
unknown_service:frontend_proc,MakeReservation,2.2210242990654208,1.921,3.1178000000000003,13.452259999999992
unknown_service:frontend_proc,UpdateUserProfile,1.2404978902953587,1.022,1.5452000000000001,5.303799999999985
unknown_service:frontend_proc,CreateUserProfile,2.1631139240506325,1.81,2.8998000000000004,9.262119999999992
unknown_service:frontend_proc,AddReview,0.6811974522292994,0.461,0.6794000000000004,5.369039999999997
unknown_service:frontend_proc,WriteReview,2.5541528662420383,2.13,3.0260000000000002,8.873359999999996
unknown_service:wlgen_proc,Search,11.683097626620993,9.979,14.7542,57.512499999999946
unknown_service:wlgen_proc,MakeReservation,5.090061302681992,3.734,6.475,25.94859999999999
unknown_service:wlgen_proc,AddItem,3.007104308390023,2.4625,4.341900000000001,15.229639999999938
unknown_service:wlgen_proc,CreateUserProfile,3.8248382978723403,2.767,5.176399999999999,32.4718799999999
unknown_service:wlgen_proc,WriteReview,4.726258064516129,3.342,6.599399999999998,29.8987800000001
unknown_service:review_proc,GetReviewsForItem,0.21652167782869228,0.183,0.249,0.8862799999999988
unknown_service:review_proc,AddReview,0.3637006369426751,0.275,0.40160000000000007,2.325599999999993
unknown_service:reserv_proc,CheckAvailability,0.3261514059120404,0.275,0.432,1.3005999999999693
unknown_service:reserv_proc,MakeReservation,0.40911985018726593,0.299,0.42960000000000004,3.228439999999961
unknown_service:search_proc,CheckAvailability,0.6295538202787121,0.5275,0.773,2.819670000000017
unknown_service:search_proc,Search,1.6417676597789526,1.375,1.9679,7.467250000000025
unknown_service:search_proc,FindItems,0.9905457822638789,0.83,1.148,4.567599999999973
